CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,AvgQuantityPerTransaction,CustomerTenureDays,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,NegativeQuantityCount,ReturnRatio,Age,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,Churn,Reg_Year,Reg_Month,Reg_Day,IP_Octet_1,IP_Octet_2,IP_Octet_3,IP_Octet_4,PreferredHour_sin,PreferredHour_cos,PreferredMonth_sin,PreferredMonth_cos,PreferredDayOfWeek_sin,PreferredDayOfWeek_cos
13047,32,2.9444389791664403,8.033041955064434,15.70969387755102,11.6847688239824,6.913265306122449,342,0.1683673469387755,1.7179487179487178,106,5.888888888888889,24,0.1224489795918367,49.0,3.0,4.0,0,6,3,4,0,2,8,3,2,1,1,0,1,0,23,0,2010,10,4,77,255,247,14,-0.39840108984624156,-0.9172113015054529,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
12583,3,2.9444389791664403,8.880354652343197,28.634820717131475,23.15013187581723,19.95617529880478,370,0.0557768924302788,1.456,115,6.388888888888889,4,0.0159362549800796,46.0,2.0,5.0,0,3,3,0,0,2,4,0,1,1,0,0,2,0,9,0,2009,12,9,51,139,78,80,-0.1361666490962464,-0.9906859460363308,-0.5000000000000004,0.8660254037844384,-0.8660254037844385,-0.5000000000000004
13748,96,1.791759469228055,6.856725107869358,33.86607142857142,42.95311926234322,15.678571428571429,278,0.0,10.25925925925926,24,4.8,0,0.0,32.0,2.0,2.0,3,1,0,1,0,1,8,3,0,0,0,0,2,0,23,1,2010,1,28,10,212,80,124,0.631087944326053,-0.7757112907044197,-1.0,-1.8369701987210297e-16,0.0,1.0
15291,26,3.044522437723423,8.433487616962548,42.16981651376147,49.09086065619568,19.027522935779817,348,0.1651376146788991,3.1481481481481484,63,3.15,6,0.055045871559633,25.0,2.0,5.0,0,1,3,0,1,0,8,3,1,1,0,0,1,0,23,0,2010,10,18,206,53,156,18,-0.9422609221188204,-0.3348796121709864,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998
14688,8,3.332204510175204,8.538833345112511,14.226685236768802,23.64446978200517,8.974930362116991,366,0.0,0.9972067039106144,148,5.481481481481482,32,0.0891364902506963,78.0,3.0,2.0,0,5,3,0,1,2,8,0,1,0,1,0,2,0,23,0,2010,2,11,154,102,135,173,-0.1361666490962464,-0.9906859460363308,-2.4492935982947064e-16,1.0,0.8660254037844386,0.5000000000000001
17809,16,2.772588722239781,8.440230070277947,72.3065625,142.20644033836976,31.484375,357,0.0,5.587301587301587,47,3.1333333333333333,3,0.046875,38.0,2.0,2.0,0,2,3,0,0,0,8,3,1,0,0,0,0,0,23,0,2010,12,17,98,239,241,45,-0.816969893010442,-0.5766803221148672,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004
14527,3,4.465908118654584,8.9507117621909,7.627477744807122,9.759291387411546,2.026706231454006,371,0.049455984174085,0.3336633663366337,331,3.8488372093023258,39,0.0385756676557863,75.0,2.0,1.0,0,5,3,0,1,2,8,0,1,1,2,0,1,0,23,0,2010,4,9,114,231,21,241,-0.1361666490962464,-0.9906859460363308,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998
16098,88,2.0794415416798357,7.60471020088491,29.934776119402983,35.43095185809055,9.149253731343284,286,0.0,4.2727272727272725,34,4.857142857142857,0,0.0,36.0,3.0,3.0,2,2,3,2,0,1,8,3,3,0,1,0,0,0,23,0,2010,12,27,156,96,44,80,0.631087944326053,-0.7757112907044197,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001
17420,50,1.3862943611198906,6.398312032625397,19.961,5.365604603268926,8.833333333333334,323,0.0,11.10344827586207,28,9.333333333333334,0,0.0,28.0,2.0,-1.0,3,1,0,2,3,0,8,3,2,0,1,0,2,0,23,0,2010,9,17,180,242,143,55,-0.816969893010442,-0.5766803221148672,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001
12431,36,2.9444389791664403,8.766922586417541,26.73495833333333,50.20159874263217,11.95,338,0.125,1.3849372384937235,163,9.055555555555555,4,0.0166666666666666,70.0,2.0,1.0,0,5,3,4,0,0,7,3,2,1,1,0,0,0,0,0,2010,12,9,116,228,31,74,-0.6310879443260528,-0.7757112907044198,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
