CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,NegativeQuantityCount,ReturnRatio,Age,RegistrationDate,LastLoginIP,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country
17850,302,35,5288.630000000001,16.950737179487184,13.603661689116102,5.426282051282051,71,374,3,9,12,0.0,0.2218649517684887,24,0.6857142857142857,15,0.048076923076923,,17/07/10,59.252.219.201,1.0,4.0,Fidèles,Inconnu,VIP,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom
13047,32,18,3079.1,15.70969387755102,11.6847688239824,6.913265306122449,342,374,2,13,10,0.1683673469387755,1.7179487179487178,106,5.888888888888889,24,0.1224489795918367,,2010-10-04,77.255.247.14,3.0,4.0,Champions,Inconnu,VIP,Régulier,Automne,Midi,UK,Établi,Moyen,Semaine,Moyen,Explorateur,M,Active,United Kingdom
12583,3,18,7187.34,28.634820717131475,23.15013187581723,19.95617529880478,370,374,4,12,11,0.0557768924302788,1.456,115,6.388888888888889,4,0.0159362549800796,46.0,12/09/2009,51.139.78.80,2.0,5.0,Champions,45-54,VIP,Hyperactif,Automne,Midi,Europe continentale,Ancien,Faible,Semaine,Grand,Explorateur,Unknown,Active,France
13748,96,5,948.25,33.86607142857142,42.95311926234322,15.678571428571429,278,374,0,9,9,0.0,10.25925925925926,24,4.8,0,0.0,32.0,28/01/10,10.212.80.124,2.0,2.0,Potentiels,25-34,High,Nouveau,Automne,Matin,UK,Établi,Critique,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom
15100,330,6,635.1,105.85,215.9862634521001,9.666666666666666,43,374,2,9,12,0.0,8.2,1,0.1666666666666666,3,0.5,,2009-12-10,186.34.121.80,2.0,1.0,Potentiels,Inconnu,High,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Spécialisé,M,Active,United Kingdom
15291,26,20,4596.51,42.16981651376147,49.09086065619568,19.027522935779817,348,374,2,16,1,0.1651376146788991,3.1481481481481484,63,3.15,6,0.055045871559633,25.0,10/18/2010,206.53.156.18,2.0,5.0,Champions,25-34,VIP,Hyperactif,Hiver,Après-midi,UK,Établi,Faible,Semaine,Grand,Explorateur,M,Active,United Kingdom
14688,8,27,5107.38,14.226685236768802,23.64446978200517,8.974930362116991,366,374,1,12,12,0.0,0.9972067039106144,148,5.481481481481482,32,0.0891364902506963,78.0,02/11/10,154.102.135.173,3.0,2.0,Champions,65+,VIP,Hyperactif,Hiver,Midi,UK,Ancien,Faible,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom
17809,16,15,4627.62,72.3065625,142.20644033836976,31.484375,357,374,4,15,10,0.0,5.587301587301587,47,3.1333333333333333,3,0.046875,38.0,2010-12-17,98.239.241.45,2.0,2.0,Champions,35-44,VIP,Hyperactif,Automne,Après-midi,UK,Établi,Faible,Inconnu,Grand,Explorateur,F,Active,United Kingdom
16098,88,7,2005.63,29.934776119402983,35.43095185809055,9.149253731343284,286,374,1,9,9,0.0,4.2727272727272725,34,4.857142857142857,0,0.0,36.0,2010-12-27,156.96.44.80,3.0,3.0,Fidèles,35-44,VIP,Occasionnel,Automne,Matin,UK,Établi,Élevé,Inconnu,Moyen,Explorateur,F,Active,United Kingdom
18074,374,1,489.6,37.66153846153846,28.254373952290948,14.615384615384617,0,374,2,9,12,0.0,0.0,13,13.0,0,0.0,40.0,10/02/2010,56.138.151.176,2.0,4.0,Potentiels,35-44,Medium,Perdu,Hiver,Matin,UK,Nouveau,Critique,Inconnu,Moyen,Modéré,Unknown,Active,United Kingdom
17420,50,3,598.83,19.961,5.365604603268926,8.833333333333334,323,374,1,15,6,0.0,11.10344827586207,28,9.333333333333334,0,0.0,28.0,17/09/10,180.242.143.55,2.0,-1.0,Potentiels,25-34,High,Occasionnel,Été,Après-midi,UK,Établi,Moyen,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom
16250,261,2,389.44,16.226666666666667,4.731409999113387,8.666666666666666,112,374,2,9,12,0.0,4.869565217391305,22,11.0,0,0.0,,11/25/2010,62.55.167.140,-1.0,3.0,Potentiels,Inconnu,Medium,Perdu,Hiver,Matin,UK,Jeune,Critique,Inconnu,Moyen,Explorateur,M,Active,United Kingdom
